feature,mean_abs_shap
hour_cos,1438.7083536738257
hour,427.9774779669125
hour_sin,202.27482009459914
day_of_week_sin,150.8351782926062
is_weekend,140.48932861191653
day_of_week,125.4227914939375
temp,109.42154485444276
day_of_week_cos,61.93657816315134
clouds_all,28.099178999819888
weather_Clouds,9.043328968128769
weather_Mist,8.399834332676281
weather_Snow,7.2561270021358615
rain_1h,4.801089381610953
weather_Rain,4.048720722286361
weather_Thunderstorm,3.734567005443594
weather_Clear,2.979652959986836
weather_Fog,2.315171928148256
weather_Haze,0.9158676587017093
weather_Drizzle,0.4655077698303835
is_holiday,0.1659392347879334
snow_1h,0.0
weather_Smoke,0.0
weather_Squall,0.0
