antecedent,consequent,support,confidence,lift,antecedent_count,rule_count
time_period=Evening Peak AND day_type=Weekday AND weather_main=Clouds,congestion_category=Severe,0.025048249527880963,0.5243266724587315,2.0990055134808423,2302,1207
time_period=Midday AND day_type=Weekday AND weather_main=Rain,congestion_category=High,0.010791292257247806,0.518444666001994,2.0725313688931544,1003,520
time_period=Midday AND day_type=Weekday AND weather_main=Clear,congestion_category=Severe,0.0216033369996057,0.5148367952522255,2.061015257358062,2022,1041
time_period=Midday AND day_type=Weekday,congestion_category=High,0.08699441758150539,0.4962121212121212,1.9836546776877786,8448,4192
time_period=Evening Peak AND weather_main=Clear,congestion_category=High,0.019652603399257063,0.49581151832460735,1.9820532299243283,1910,947
time_period=Evening Peak AND day_type=Weekday AND weather_main=Clear,congestion_category=Severe,0.013364600410899204,0.49047981721249045,1.9635084283474518,1313,644
time_period=Evening Peak AND day_type=Weekday,congestion_category=Severe,0.056633531865440886,0.4838652482269504,1.937028721135836,5640,2729
time_period=Midday AND day_type=Weekday,congestion_category=Severe,0.08402681221076223,0.4792850378787879,1.9186930398159967,8448,4049
time_period=Midday AND day_type=Weekday AND weather_main=Clear,congestion_category=High,0.019777118309917612,0.4713155291790307,1.8841282067819771,2022,953
time_period=Evening Peak AND weather_main=Rain,congestion_category=High,0.010044202793284496,0.469447138700291,1.8766591399162869,1031,484
time_period=Evening Peak,congestion_category=High,0.07545603586029427,0.46253657295509476,1.8490335026536544,7861,3636
time_period=Evening Peak AND weather_main=Clouds,congestion_category=High,0.030236370805403947,0.46136795440151995,1.844361839949066,3158,1457
day_type=Weekend AND weather_main=Clouds,congestion_category=High,0.039367464253844395,0.44708932359179826,1.7872816688168227,4243,1897
time_period=Midday AND day_type=Weekday AND weather_main=Clouds,congestion_category=High,0.029364766430780086,0.4399875621890547,1.7588917089102356,3216,1415
time_period=Midday AND weather_main=Clouds,congestion_category=Severe,0.03866187976010127,0.412624584717608,1.6518352466384794,4515,1863
day_type=Weekend AND weather_main=Mist,congestion_category=Low,0.013655135202440492,0.39710319855159926,1.5883798313775972,1657,658
time_period=Evening Peak AND weather_main=Clouds,congestion_category=Severe,0.025961358872725007,0.396136795440152,1.5858306689270254,3158,1251
day_type=Weekday AND weather_main=Clouds,congestion_category=Severe,0.0877207545603586,0.3872652313330279,1.5503156685423791,10915,4227
time_period=Midday AND weather_main=Clear,congestion_category=Severe,0.02328428829352315,0.3864967275232518,1.5472391633432696,2903,1122
time_period=Evening Peak AND day_type=Weekday AND weather_main=Clear,congestion_category=High,0.010230975159275324,0.37547600913937546,1.5010007012111402,1313,493
